Frequency (Hz),S11 (dB),S11 (deg)
1.000000e+06,-0.000005,-0.191349
1.359356e+06,-0.000009,-0.260112
1.847850e+06,-0.000016,-0.353584
2.511886e+06,-0.000030,-0.480646
3.414549e+06,-0.000055,-0.653366
4.641589e+06,-0.000102,-0.888151
6.309573e+06,-0.000189,-1.207297
8.576959e+06,-0.000350,-1.641105
1.165914e+07,-0.000646,-2.230740
1.584893e+07,-0.001194,-3.032103
2.154435e+07,-0.002204,-4.121039
2.928645e+07,-0.004069,-5.600279
3.981072e+07,-0.007507,-7.608557
5.411695e+07,-0.013826,-10.332182
7.356423e+07,-0.025396,-14.018750
1.000000e+08,-0.046419,-18.990959
1.359356e+08,-0.084087,-25.654126
1.847850e+08,-0.149930,-34.481968
2.511886e+08,-0.260199,-45.950732
3.414549e+08,-0.432286,-60.382962
4.641589e+08,-0.673357,-77.700213
6.309573e+08,-0.964351,-97.218185
8.576959e+08,-1.257431,-117.750410
1.165914e+09,-1.499895,-138.111840
1.584893e+09,-1.661720,-157.670256
2.154435e+09,-1.737899,-176.518229
2.928645e+09,-1.733053,164.758102
3.981072e+09,-1.650457,145.488990
5.411695e+09,-1.494799,125.354522
7.356423e+09,-1.284478,104.717111
1.000000e+10,-1.057458,84.623729
