when,plate,k,n_frames,obs,kind,i,j,dL_meas_nH,dL_model_nH,diff_nH,sigma_nH,note
2026-09-14 12:18:12,A0,0,100,0,self,0,0,-0.00725,0.00000,-0.00725,0.02265,
2026-09-14 12:18:12,A0,0,100,1,self,1,1,0.00289,0.00000,0.00289,0.02621,
2026-09-14 12:18:12,A0,0,100,2,self,2,2,-0.00087,0.00000,-0.00087,0.02226,
2026-09-14 12:18:12,A0,0,100,3,self,3,3,-0.00149,0.00000,-0.00149,0.02299,
2026-09-14 12:18:12,A0,0,100,4,self,4,4,0.00201,0.00000,0.00201,0.02508,
2026-09-14 12:18:12,A0,0,100,5,self,5,5,0.00536,0.00000,0.00536,0.02248,
2026-09-14 12:18:12,A0,0,100,6,self,6,6,-0.00331,0.00000,-0.00331,0.02292,
2026-09-14 12:18:12,A0,0,100,7,self,7,7,-0.00265,0.00000,-0.00265,0.02409,
2026-09-14 12:18:12,A0,0,100,8,self,8,8,-0.00017,0.00000,-0.00017,0.02202,
2026-09-14 12:18:12,A0,0,100,9,self,9,9,-0.00511,0.00000,-0.00511,0.02489,
2026-09-14 12:18:12,A0,0,100,10,self,10,10,0.00483,0.00000,0.00483,0.02373,
2026-09-14 12:18:12,A0,0,100,11,self,11,11,0.00242,0.00000,0.00242,0.02459,
2026-09-14 12:18:12,A0,0,100,12,self,12,12,0.00354,0.00000,0.00354,0.02440,
2026-09-14 12:18:12,A0,0,100,13,self,13,13,0.00321,0.00000,0.00321,0.02623,
2026-09-14 12:18:12,A0,0,100,14,self,14,14,0.00264,0.00000,0.00264,0.02332,
2026-09-14 12:18:12,A0,0,100,15,self,15,15,0.00647,0.00000,0.00647,0.02249,
2026-09-14 12:18:12,A0,0,100,16,self,16,16,-0.00528,0.00000,-0.00528,0.02515,
2026-09-14 12:18:12,A0,0,100,17,self,17,17,0.00524,0.00000,0.00524,0.02214,
2026-09-14 12:18:12,A0,0,100,18,self,18,18,0.00191,0.00000,0.00191,0.02600,
2026-09-14 12:18:12,A0,0,100,19,edge,0,1,-0.00006,0.00000,-0.00006,0.00040,
2026-09-14 12:18:12,A0,0,100,20,edge,0,3,-0.00007,0.00000,-0.00007,0.00037,
2026-09-14 12:18:12,A0,0,100,21,edge,0,4,-0.00003,0.00000,-0.00003,0.00053,
2026-09-14 12:18:12,A0,0,100,22,edge,1,2,0.00010,0.00000,0.00010,0.00041,
2026-09-14 12:18:12,A0,0,100,23,edge,1,4,0.00004,0.00000,0.00004,0.00037,
2026-09-14 12:18:12,A0,0,100,24,edge,1,5,0.00005,0.00000,0.00005,0.00037,
2026-09-14 12:18:12,A0,0,100,25,edge,2,5,0.00008,0.00000,0.00008,0.00050,
2026-09-14 12:18:12,A0,0,100,26,edge,2,6,0.00007,0.00000,0.00007,0.00043,
2026-09-14 12:18:12,A0,0,100,27,edge,3,4,-0.00000,0.00000,-0.00000,0.00034,
2026-09-14 12:18:12,A0,0,100,28,edge,3,7,0.00004,0.00000,0.00004,0.00039,
2026-09-14 12:18:12,A0,0,100,29,edge,3,8,-0.00007,0.00000,-0.00007,0.00038,
2026-09-14 12:18:12,A0,0,100,30,edge,4,5,0.00002,0.00000,0.00002,0.00046,
2026-09-14 12:18:12,A0,0,100,31,edge,4,8,-0.00003,0.00000,-0.00003,0.00040,
2026-09-14 12:18:12,A0,0,100,32,edge,4,9,0.00004,0.00000,0.00004,0.00040,
2026-09-14 12:18:12,A0,0,100,33,edge,5,6,0.00006,0.00000,0.00006,0.00041,
2026-09-14 12:18:12,A0,0,100,34,edge,5,9,-0.00004,0.00000,-0.00004,0.00043,
2026-09-14 12:18:12,A0,0,100,35,edge,5,10,0.00002,0.00000,0.00002,0.00046,
2026-09-14 12:18:12,A0,0,100,36,edge,6,10,-0.00004,0.00000,-0.00004,0.00042,
2026-09-14 12:18:12,A0,0,100,37,edge,6,11,-0.00000,0.00000,-0.00000,0.00038,
2026-09-14 12:18:12,A0,0,100,38,edge,7,8,0.00002,0.00000,0.00002,0.00041,
2026-09-14 12:18:12,A0,0,100,39,edge,7,12,-0.00003,0.00000,-0.00003,0.00036,
2026-09-14 12:18:12,A0,0,100,40,edge,8,9,0.00003,0.00000,0.00003,0.00037,
2026-09-14 12:18:12,A0,0,100,41,edge,8,12,-0.00007,0.00000,-0.00007,0.00042,
2026-09-14 12:18:12,A0,0,100,42,edge,8,13,0.00005,0.00000,0.00005,0.00043,
2026-09-14 12:18:12,A0,0,100,43,edge,9,10,0.00007,0.00000,0.00007,0.00040,
2026-09-14 12:18:12,A0,0,100,44,edge,9,13,-0.00000,0.00000,-0.00000,0.00034,
2026-09-14 12:18:12,A0,0,100,45,edge,9,14,0.00010,0.00000,0.00010,0.00039,
2026-09-14 12:18:12,A0,0,100,46,edge,10,11,-0.00001,0.00000,-0.00001,0.00047,
2026-09-14 12:18:12,A0,0,100,47,edge,10,14,-0.00000,0.00000,-0.00000,0.00046,
2026-09-14 12:18:12,A0,0,100,48,edge,10,15,-0.00003,0.00000,-0.00003,0.00040,
2026-09-14 12:18:12,A0,0,100,49,edge,11,15,-0.00005,0.00000,-0.00005,0.00042,
2026-09-14 12:18:12,A0,0,100,50,edge,12,13,0.00005,0.00000,0.00005,0.00039,
2026-09-14 12:18:12,A0,0,100,51,edge,12,16,0.00003,0.00000,0.00003,0.00043,
2026-09-14 12:18:12,A0,0,100,52,edge,13,14,-0.00010,0.00000,-0.00010,0.00043,
2026-09-14 12:18:12,A0,0,100,53,edge,13,16,0.00007,0.00000,0.00007,0.00049,
2026-09-14 12:18:12,A0,0,100,54,edge,13,17,-0.00009,0.00000,-0.00009,0.00040,
2026-09-14 12:18:12,A0,0,100,55,edge,14,15,-0.00005,0.00000,-0.00005,0.00039,
2026-09-14 12:18:12,A0,0,100,56,edge,14,17,0.00001,0.00000,0.00001,0.00037,
2026-09-14 12:18:12,A0,0,100,57,edge,14,18,0.00003,0.00000,0.00003,0.00047,
2026-09-14 12:18:12,A0,0,100,58,edge,15,18,0.00006,0.00000,0.00006,0.00039,
2026-09-14 12:18:12,A0,0,100,59,edge,16,17,0.00001,0.00000,0.00001,0.00047,
2026-09-14 12:18:12,A0,0,100,60,edge,17,18,-0.00003,0.00000,-0.00003,0.00031,
2026-09-14 12:18:15,A1C,0,100,0,self,0,0,-0.23274,-0.23220,-0.00054,0.02153,
2026-09-14 12:18:15,A1C,0,100,1,self,1,1,-19.66632,-19.66279,-0.00353,0.02178,
2026-09-14 12:18:15,A1C,0,100,2,self,2,2,-0.23241,-0.23215,-0.00026,0.02350,
2026-09-14 12:18:15,A1C,0,100,3,self,3,3,-19.72851,-19.73038,0.00186,0.02295,
2026-09-14 12:18:15,A1C,0,100,4,self,4,4,-0.42667,-0.42542,-0.00125,0.02598,
2026-09-14 12:18:15,A1C,0,100,5,self,5,5,-0.42035,-0.42541,0.00506,0.02224,
2026-09-14 12:18:15,A1C,0,100,6,self,6,6,-19.73385,-19.73041,-0.00344,0.02575,
2026-09-14 12:18:15,A1C,0,100,7,self,7,7,-0.23498,-0.23210,-0.00287,0.02284,
2026-09-14 12:18:15,A1C,0,100,8,self,8,8,-0.41917,-0.42535,0.00618,0.02231,
2026-09-14 12:18:15,A1C,0,100,9,self,9,9,-19.68889,-19.68698,-0.00191,0.02420,
2026-09-14 12:18:15,A1C,0,100,10,self,10,10,-0.41874,-0.42541,0.00667,0.02281,
2026-09-14 12:18:15,A1C,0,100,11,self,11,11,-0.23554,-0.23215,-0.00339,0.02379,
2026-09-14 12:18:15,A1C,0,100,12,self,12,12,-19.65979,-19.66278,0.00299,0.02211,
2026-09-14 12:18:15,A1C,0,100,13,self,13,13,-0.42737,-0.42535,-0.00201,0.02176,
2026-09-14 12:18:15,A1C,0,100,14,self,14,14,-0.42139,-0.42542,0.00402,0.02451,
2026-09-14 12:18:15,A1C,0,100,15,self,15,15,-19.66231,-19.66279,0.00047,0.02425,
2026-09-14 12:18:15,A1C,0,100,16,self,16,16,-0.24005,-0.23210,-0.00795,0.02172,
2026-09-14 12:18:15,A1C,0,100,17,self,17,17,-19.73042,-19.73038,-0.00005,0.02266,
2026-09-14 12:18:15,A1C,0,100,18,self,18,18,-0.23060,-0.23220,0.00160,0.02317,
2026-09-14 12:18:15,A1C,0,100,19,edge,0,1,1.42596,1.42598,-0.00001,0.00042,
2026-09-14 12:18:15,A1C,0,100,20,edge,0,3,1.42827,1.42841,-0.00014,0.00041,
2026-09-14 12:18:15,A1C,0,100,21,edge,0,4,-0.29040,-0.29032,-0.00008,0.00039,
2026-09-14 12:18:15,A1C,0,100,22,edge,1,2,1.42605,1.42598,0.00006,0.00038,
2026-09-14 12:18:15,A1C,0,100,23,edge,1,4,1.39052,1.39058,-0.00006,0.00033,
2026-09-14 12:18:15,A1C,0,100,24,edge,1,5,1.39058,1.39058,0.00000,0.00038,
2026-09-14 12:18:15,A1C,0,100,25,edge,2,5,-0.29031,-0.29028,-0.00002,0.00050,
2026-09-14 12:18:15,A1C,0,100,26,edge,2,6,1.42811,1.42809,0.00002,0.00037,
2026-09-14 12:18:15,A1C,0,100,27,edge,3,4,1.81966,1.81974,-0.00008,0.00038,
2026-09-14 12:18:15,A1C,0,100,28,edge,3,7,1.42777,1.42777,0.00000,0.00045,
2026-09-14 12:18:15,A1C,0,100,29,edge,3,8,1.81927,1.81940,-0.00013,0.00042,
2026-09-14 12:18:15,A1C,0,100,30,edge,4,5,-0.31272,-0.31271,-0.00001,0.00050,
2026-09-14 12:18:15,A1C,0,100,31,edge,4,8,-0.36380,-0.36372,-0.00009,0.00049,
2026-09-14 12:18:15,A1C,0,100,32,edge,4,9,1.37497,1.37504,-0.00008,0.00043,
2026-09-14 12:18:15,A1C,0,100,33,edge,5,6,1.81962,1.81967,-0.00005,0.00039,
2026-09-14 12:18:15,A1C,0,100,34,edge,5,9,1.37501,1.37504,-0.00004,0.00034,
2026-09-14 12:18:15,A1C,0,100,35,edge,5,10,-0.36381,-0.36374,-0.00008,0.00046,
2026-09-14 12:18:15,A1C,0,100,36,edge,6,10,1.81959,1.81967,-0.00008,0.00033,
2026-09-14 12:18:15,A1C,0,100,37,edge,6,11,1.42809,1.42809,0.00000,0.00041,
2026-09-14 12:18:15,A1C,0,100,38,edge,7,8,-0.29022,-0.29023,0.00001,0.00047,
2026-09-14 12:18:15,A1C,0,100,39,edge,7,12,1.42601,1.42599,0.00002,0.00038,
2026-09-14 12:18:15,A1C,0,100,40,edge,8,9,1.37506,1.37505,0.00001,0.00038,
2026-09-14 12:18:15,A1C,0,100,41,edge,8,12,1.39053,1.39059,-0.00006,0.00037,
2026-09-14 12:18:15,A1C,0,100,42,edge,8,13,-0.31260,-0.31269,0.00009,0.00048,
2026-09-14 12:18:15,A1C,0,100,43,edge,9,10,1.37509,1.37504,0.00005,0.00039,
2026-09-14 12:18:15,A1C,0,100,44,edge,9,13,1.37495,1.37505,-0.00010,0.00039,
2026-09-14 12:18:15,A1C,0,100,45,edge,9,14,1.37499,1.37504,-0.00005,0.00035,
2026-09-14 12:18:15,A1C,0,100,46,edge,10,11,-0.29039,-0.29028,-0.00010,0.00040,
2026-09-14 12:18:15,A1C,0,100,47,edge,10,14,-0.31266,-0.31271,0.00005,0.00042,
2026-09-14 12:18:15,A1C,0,100,48,edge,10,15,1.39053,1.39058,-0.00005,0.00040,
2026-09-14 12:18:15,A1C,0,100,49,edge,11,15,1.42596,1.42598,-0.00003,0.00036,
2026-09-14 12:18:15,A1C,0,100,50,edge,12,13,1.39057,1.39059,-0.00003,0.00041,
2026-09-14 12:18:15,A1C,0,100,51,edge,12,16,1.42596,1.42599,-0.00003,0.00035,
2026-09-14 12:18:15,A1C,0,100,52,edge,13,14,-0.36388,-0.36372,-0.00016,0.00043,
2026-09-14 12:18:15,A1C,0,100,53,edge,13,16,-0.29031,-0.29023,-0.00008,0.00048,
2026-09-14 12:18:15,A1C,0,100,54,edge,13,17,1.81922,1.81940,-0.00017,0.00043,
2026-09-14 12:18:15,A1C,0,100,55,edge,14,15,1.39054,1.39058,-0.00004,0.00042,
2026-09-14 12:18:15,A1C,0,100,56,edge,14,17,1.81963,1.81974,-0.00010,0.00042,
2026-09-14 12:18:15,A1C,0,100,57,edge,14,18,-0.29041,-0.29032,-0.00009,0.00040,
2026-09-14 12:18:15,A1C,0,100,58,edge,15,18,1.42597,1.42598,-0.00001,0.00038,
2026-09-14 12:18:15,A1C,0,100,59,edge,16,17,1.42772,1.42777,-0.00005,0.00035,
2026-09-14 12:18:15,A1C,0,100,60,edge,17,18,1.42831,1.42841,-0.00010,0.00037,
2026-09-14 12:18:18,A1C,1,100,0,self,0,0,-0.23457,-0.23220,-0.00237,0.02600,
2026-09-14 12:18:18,A1C,1,100,1,self,1,1,-19.72869,-19.73038,0.00169,0.02333,
2026-09-14 12:18:18,A1C,1,100,2,self,2,2,-0.22729,-0.23210,0.00482,0.02253,
2026-09-14 12:18:18,A1C,1,100,3,self,3,3,-19.66329,-19.66279,-0.00050,0.02516,
2026-09-14 12:18:18,A1C,1,100,4,self,4,4,-0.42443,-0.42542,0.00098,0.02212,
2026-09-14 12:18:18,A1C,1,100,5,self,5,5,-0.42746,-0.42535,-0.00211,0.02268,
2026-09-14 12:18:18,A1C,1,100,6,self,6,6,-19.66265,-19.66278,0.00013,0.02298,
